"Name","Team","POS","Salary","Years","Total Value","Avg Annual","year"
"Mike Trout","LAA","OF","$34,083,333","6 (2015-20)","$144,500,000","$24,083,333",2013
"Clayton Kershaw","LAD","SP","$34,000,000","7 (2014-20)","$215,000,000","$30,714,286",2013
"Zack Greinke","ARI","SP","$31,954,483","6 (2016-21)","$206,500,000","$34,416,667",2013
"Jake Arrieta","PHI","SP","$30,000,000","3 (2018-20)","$75,000,000","$25,000,000",2013
"David Price","BOS","SP","$30,000,000","7 (2016-22)","$217,000,000","$31,000,000",2013
"Miguel Cabrera","DET","1B","$30,000,000","10 (2014-23)","$292,000,000","$29,200,000",2013
"Yoenis Cespedes","NYM","OF","$29,000,000","4 (2017-20)","$110,000,000","$27,500,000",2013
"Justin Verlander","HOU","SP","$28,000,000","7 (2013-19)","$180,000,000","$25,714,286",2013
"Jon Lester","CHC","SP","$27,500,000","6 (2015-20)","$155,000,000","$25,833,333",2013
"Albert Pujols","LAA","1B","$27,000,000","10 (2012-21)","$240,000,000","$24,000,000",2013
"Felix Hernandez","SEA","SP","$26,857,143","7 (2013-19)","$175,000,000","$25,000,000",2013
"Jason Heyward","CHC","OF","$26,055,288","8 (2016-23)","$184,000,000","$23,000,000",2013
"Yu Darvish","CHC","SP","$25,000,000","6 (2018-23)","$126,000,000","$21,000,000",2013
"Joey Votto","CIN","1B","$25,000,000","10 (2014-23)","$225,000,000","$22,500,000",2013
"Giancarlo Stanton","NYY","OF","$25,000,000","13 (2015-27)","$325,000,000","$25,000,000",2013
"Robinson Cano","SEA","2B","$24,000,000","10 (2014-23)","$240,000,000","$24,000,000",2013
"Jordan Zimmermann","DET","SP","$24,000,000","5 (2016-20)","$110,000,000","$22,000,000",2013
"J.D. Martinez","BOS","OF","$23,750,000","5 (2018-22)","$110,000,000","$22,000,000",2013
"Josh Donaldson","TOR","3B","$23,000,000","1 (2018)","$23,000,000","$23,000,000",2013
"Joe Mauer","MIN","1B","$23,000,000","8 (2011-18)","$184,000,000","$23,000,000",2013
"Hanley Ramirez","BOS","1B","$22,750,000","4 (2015-18)","$88,000,000","$22,000,000",2013
"Johnny Cueto","SF","SP","$22,666,666","6 (2016-21)","$130,000,000","$21,666,667",2013
"Cole Hamels","TEX","SP","$22,500,000","6 (2013-18)","$144,000,000","$24,000,000",2013
"Adrian Gonzalez","NYM","1B","$22,357,142","7 (2012-18)","$154,000,000","$22,000,000",2013
"Buster Posey","SF","C","$22,177,778","9 (2013-21)","$167,000,000","$18,555,556",2013
"Max Scherzer","WSH","SP","$22,142,857","7 (2015-21)","$210,000,000","$30,000,000",2013
"Yadier Molina","STL","C","$22,000,000","3 (2018-20)","$62,000,000","$20,666,667",2013
"Ian Desmond","COL","1B","$22,000,000","5 (2017-21)","$70,000,000","$14,000,000",2013
"Masahiro Tanaka","NYY","SP","$22,000,000","7 (2014-20)","$155,000,000","$22,142,857",2013
"Jacoby Ellsbury","NYY","OF","$21,857,142","7 (2014-20)","$153,000,000","$21,857,143",2013
"Bryce Harper","WSH","OF","$21,625,000","1 (2018)","$21,625,000","$21,625,000",2013
"Eric Hosmer","SD","1B","$21,625,000","8 (2018-25)","$144,000,000","$18,000,000",2013
"Matt Kemp","LAD","OF","$21,500,000","8 (2012-19)","$160,000,000","$20,000,000",2013
"Freddie Freeman","ATL","1B","$21,359,375","8 (2014-21)","$135,000,000","$16,875,000",2013
"James Shields","CWS","SP","$21,250,000","4 (2015-18)","$75,000,000","$18,750,000",2013
"Chris Davis","BAL","1B","$21,169,326","7 (2016-22)","$161,000,000","$23,000,000",2013
"Rick Porcello","BOS","SP","$21,125,000","4 (2016-19)","$82,500,000","$20,625,000",2013
"Homer Bailey","CIN","SP","$21,000,000","6 (2014-19)","$105,000,000","$17,500,000",2013
"Alex Gordon","KC","OF","$21,000,000","4 (2016-19)","$72,000,000","$18,000,000",2013
"Russell Martin","TOR","C","$20,000,000","5 (2015-19)","$82,000,000","$16,400,000",2013
"Troy Tulowitzki","TOR","SS","$20,000,000","10 (2011-20)","$157,750,000","$15,775,000",2013
"Shin-Soo Choo","TEX","OF","$20,000,000","7 (2014-20)","$130,000,000","$18,571,429",2013
"Jeff Samardzija","SF","SP","$19,800,000","5 (2016-20)","$90,000,000","$18,000,000",2013
"Pablo Sandoval","SF","3B","$19,600,000","1 (2018)","$19,600,000","$19,600,000",2013
"Adam Wainwright","STL","SP","$19,500,000","5 (2014-18)","$97,500,000","$19,500,000",2013
"David Wright","NYM","3B","$19,399,744","8 (2013-20)","$138,000,000","$17,250,000",2013
"Ryan Braun","MIL","OF","$19,088,823","13 (2008-20)","$150,000,000","$11,538,462",2013
"Kyle Seager","SEA","3B","$19,000,000","7 (2015-21)","$100,000,000","$14,285,714",2013
"Hunter Pence","SF","OF","$18,700,000","5 (2014-18)","$90,000,000","$18,000,000",2013
